Latitude,Longitude,Magnitude
51.6783,-173.489,5
-30.3584,-178.0074,5.4
11.1535,-86.6205,5.8
-21.9779,-174.4701,5
14.137,-91.1098,5
-34.4192,-109.3543,5
6.862,-76.701,5
-6.2452,154.7595,5.8
-0.5089,-19.9606,5.1
-3.7458,128.3613,5.2
-5.1972,152.7971,5.1
14.6571,-61.3454,5.6
-33.0132,-108.8244,5.3
9.9678,126.0264,5.2
-31.7499,-72.1791,5
35.5164,27.3862,5.2
-42.007,84.5584,5.4
36.4935,71.1263,6.3
-40.7281,-86.4356,5.8
-15.2792,167.5545,5.1
-7.2182,128.9775,5.8
-3.6726,151.3213,5.1
-55.755,-123.1158,6.2
-17.3364,-173.7342,5.3
-54.1759,-1.4943,5.8
45.1096,-28.0473,5
-21.0307,168.2896,5.1
-6.8707,155.0527,5
49.3128,155.6491,5
-28.3167,-176.4206,5.2
-4.4354,151.9782,5.7
-18.1567,-174.9055,5
-6.2785,154.6759,5
3.6455,117.6359,6.1
12.8596,124.3748,5.2
-28.2531,-176.2567,5.2
-30.6053,-71.3057,5.8
-8.3684,107.0225,5.7
2.1145,-84.4273,5
-18.3819,169.3857,6
29.3985,81.6541,5.4
-17.0719,-178.9574,5.1
-1.3395,-15.8313,5.4
47.9728,146.8521,5.4
15.8015,-93.633,6.6
17.7537,120.5815,5.3
-19.5827,-174.911,5.3
-56.3666,-25.7378,5
-56.3767,-25.8321,5.1
-15.6232,167.2863,5.2
25.7209,141.9465,5.1
-5.4132,153.0664,5
52.835,-167.9241,5.2
-4.056,129.5317,5.3
-4.0574,129.5354,5.2
-6.8681,129.8586,5.4
54.979,111.6458,5.1
46.7243,152.5864,5.3
3.4763,127.4198,5.3
-41.1083,-90.0703,5.5
-47.6159,85.1651,5
-4.9619,102.966,5.1
-5.4291,129.4265,5
-17.0179,175.2794,5.1
-58.88,-23.9062,5.7
-4.2318,129.5433,5.2
-35.8838,-73.2763,5.5
-37.6899,51.3146,5.3
38.3722,72.8574,5
-4.1499,129.4646,5
-4.0366,129.5475,5
-4.0576,129.6028,5.4
-15.1833,-177.7597,5.3
-16.7374,175.2475,6.1
-4.0634,129.7107,5.3
-4.126,129.5585,5
-4.1428,129.6036,5.2
-4.2767,129.6724,5.2
-4.1064,129.5079,6.9
0.9884,127.5123,5
-30.8096,-71.7519,5.6
14.2197,-90.8905,5.7
38.6494,73.2011,5.4
41.7307,74.6053,5.5
38.4507,73.2848,5.2
38.7467,72.8461,5.3
-31.3985,-71.2624,5.5
38.2107,72.7797,7.2
-17.6527,-174.3807,5.2
-30.135,-177.6017,5.4
-10.649,164.0862,5.4
-48.2124,-10.0798,5
-18.1602,-178.694,5.6
-7.2346,155.0421,5.3
43.8592,85.3132,5
-23.5099,-64.6396,5.3
-47.6165,85.0913,7.1
-54.007,-2.3854,5
21.4894,145.748,5.4
-33.98,-109.3331,5
-5.66,149.7542,5.3
22.5999,121.4008,5.1
-34.5735,-109.3484,5.2
-34.4849,-109.2098,5
39.2826,40.2553,5.4
-6.2443,154.6777,5.3
-6.9809,155.5596,5
-14.8839,-176.5573,5.8
-16.379,-71.1123,5
1.0112,127.5026,5.1
